experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,40,2,0.07975426571386904,0.09881629478391911,0.08610827540388573,0.09824672273264952,0.05547737105634145,0.15264206893199164,1,2,10
1vR,tafeng,top,40,2,0.03870967741935484,0.04838709677419355,0.041935483870967745,0.04774193548387096,0.02709677419354839,0.07096774193548387,1,2,10
1vR,coop,top,40,6,0.04874418680018795,0.18279981527392933,0.07572814016958686,0.06816701018101046,0.06893965739670858,0.264498565942346,1,2,10
1vR,tafeng,top,40,6,0.029784946236559137,0.07419354838709677,0.03877112135176651,0.038976092850855654,0.031051045728465086,0.1032258064516129,1,2,10
1vR,coop,top,40,3,0.06752224004666764,0.1259783189927568,0.08596567984055224,0.0884425476812818,0.06294259918293753,0.18958728306839726,1,2,10
1vR,tafeng,top,40,3,0.030107526881720425,0.04838709677419355,0.035483870967741936,0.03824175824175824,0.024834520318391284,0.07096774193548387,1,2,10
1vR,coop,top,40,12,0.03496791599824995,0.2625601575032813,0.06110385935746879,0.05061202754133856,0.06689769500628842,0.3617106606387633,1,2,10
1vR,tafeng,top,40,12,0.028484848484848484,0.08064516129032258,0.037167348780252005,0.03725917182032134,0.0303915340460332,0.10967741935483871,1,2,10
1vR,coop,top,50,16,0.03057524638603826,0.3066473945812009,0.055166672402406386,0.04464654417899945,0.06425189683253724,0.41222105868645004,1,2,10
1vR,tafeng,top,50,16,0.030768313051777615,0.10236220472440945,0.040693424736963406,0.040435232456976215,0.03404363071088651,0.13385826771653545,1,2,10
1vR,coop,top,30,17,0.029099671970994247,0.3097173709210431,0.05280227652280021,0.04255726363794903,0.062213775203700215,0.4158861652911296,1,2,10
1vR,tafeng,top,30,17,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,30,14,0.03202776576629006,0.28038803540333634,0.056985011715159156,0.04658897405047442,0.06454927860409913,0.3827393279960434,1,2,10
1vR,tafeng,top,30,14,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,50,15,0.03154161610526558,0.29644105544166016,0.056541912399734204,0.04597612171819113,0.06499964303839602,0.40052506600197635,1,2,10
1vR,tafeng,top,50,15,0.030374612264376044,0.09448818897637795,0.039934328447529005,0.039849904403367,0.03302964847697238,0.12598425196850394,1,2,10
1vR,coop,top,40,10,0.038152010111321764,0.2386004569539643,0.06503599822471047,0.054836138724065245,0.06814224495061594,0.33355208789071994,1,2,10
1vR,tafeng,top,40,10,0.02870967741935484,0.08064516129032258,0.03752827817343946,0.03757738455678938,0.03071310410020087,0.10967741935483871,1,2,10
1vR,coop,top,40,18,0.028762046195497607,0.3246864518010792,0.05246374325456012,0.04212304177049383,0.06249664065618561,0.431906567497934,1,2,10
1vR,tafeng,top,40,18,0.029169692314853602,0.0935483870967742,0.03847313843319036,0.03827409860375689,0.032104632775260954,0.12258064516129032,1,2,10
1vR,coop,top,40,9,0.040027762924073264,0.22526250546886392,0.06714101367010801,0.057266702210785454,0.06847479571359848,0.3174128627679743,1,2,10
1vR,tafeng,top,40,9,0.028351254480286733,0.07419354838709677,0.03678536517246194,0.03703141760227548,0.029669808369998125,0.1032258064516129,1,2,10
1vR,coop,top,50,9,0.04037352073516731,0.22758513886225867,0.06773491466932566,0.05776465781806486,0.06910756465170463,0.32005427648559753,1,2,10
1vR,tafeng,top,50,9,0.03022747156605424,0.08267716535433071,0.03946040835804615,0.039587684613403146,0.032027109065089605,0.11023622047244094,1,2,10
1vR,coop,top,50,8,0.042851769990750244,0.21487883659533044,0.07049486323538329,0.060961541510240684,0.06971154555242548,0.30408106075131636,1,2,10
