dataset,model_name,split_type,pred_length,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score,mean_f05_score,std_f05_score,mean_f2_score,std_f2_score,mean_hit_score,std_hit_score
tafeng,markov,split_fixed,5,0.086660917061952,0.16292189310024355,0.08607812674996727,0.1895558550506092,0.07383388447892952,0.1357499329426025,0.09280272603334633,0.16706962563177638,0.046359123792509074,0.09140134065468249,0.283742992669254,0.4509108368113931
tafeng,markov,split_fixed,6,0.08272243783239902,0.15366526811167078,0.0916900155766059,0.19384047359920872,0.07443818035270855,0.1327554606792475,0.09093517030778689,0.1603501953804095,0.04807912529440442,0.0911966401279496,0.29926692539887884,0.45803569879314493
tafeng,markov,split_fixed,7,0.08080248054374832,0.14818941677569136,0.09745767858635775,0.19906729129399173,0.0756869112830932,0.13154537306813413,0.09050761380860889,0.1565105139829054,0.04997571755475233,0.09182723887802015,0.31349719706770157,0.46401460145003165
tafeng,markov,split_fixed,8,0.07967052711554651,0.14477949516281352,0.10267864899398021,0.20328312602631682,0.07662476610687871,0.1298681549018475,0.09025091732029525,0.1533365233563884,0.051529337062838354,0.09179044048952914,0.32772746873652436,0.4694861269143794
tafeng,markov,split_fixed,9,0.07824510428003312,0.1418605783069145,0.10592072602607595,0.20600009447071527,0.07676858226441353,0.1284596312578526,0.08942647978380097,0.150795728875149,0.0523055490843145,0.09157935734932965,0.3359206554549375,0.4724131729256331
tafeng,markov,split_fixed,10,0.07745932496902742,0.14009254136155244,0.1093273342421603,0.20853605114581852,0.07721538997564431,0.12766372289186975,0.08911708157072597,0.14920196744455885,0.05321934477555121,0.09159810566261899,0.34411384217335056,0.4751808855645301
tafeng,markov,split_fixed,11,0.07691049906444472,0.13873370814776537,0.11186108177877807,0.2096541482751207,0.07755158160721062,0.12686873832054957,0.08891387371285686,0.1479312986492474,0.05388814548073062,0.0913434424907811,0.3514445881845623,0.4775244712409829
tafeng,markov,split_fixed,12,0.07662955247043216,0.13795689831525126,0.11419965464990472,0.2113012559868078,0.07796916392908097,0.12664951731913052,0.08892400237534534,0.14731557411878746,0.05453643132400149,0.09147831863047964,0.35705045278137126,0.47923320308687767
tafeng,markov,split_fixed,13,0.07609329126146719,0.13709326352098952,0.11542503613099106,0.21206927302728826,0.07789487310684062,0.12626330049230305,0.08851357893351128,0.1465572375665853,0.05474596845809212,0.09138580390943972,0.3600689952565761,0.48012364894338144
tafeng,markov,split_fixed,14,0.07590611319589326,0.13650157739783395,0.11732636761190697,0.2136786974531987,0.07818359671992207,0.12607303944981152,0.08851310393571525,0.1460416886410755,0.05521457772087319,0.0914552694080661,0.3639499784389823,0.4812382549904113
