model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
clf,20,2,14.0,0.3187530905533946,0.3429524767627972,0.3104398404954482,0.9930433251144768
clf,20,2,15.0,0.3224898256283239,0.3350648905906038,0.3246519204905245,0.9942761535752024
clf,20,2,16.0,0.3258640050327521,0.3280663875965919,0.3386628445537076,0.9950686861570976
clf,20,2,17.0,0.3288078838214169,0.3215940381777824,0.3524797497543732,0.9960373370905248
clf,20,2,18.0,0.3309809816988833,0.3153239946431677,0.3655242318589684,0.9966537513208876
clf,20,2,19.0,0.3326797113706458,0.309343180214234,0.3782173633633103,0.9967418104966538
clf,20,2,20.0,0.3340376456644764,0.3037275538817596,0.3905939679547489,0.997005988023952
clf,30,0,2.0,0.1099042768807138,0.4674242424242424,0.0629696337038696,0.7098484848484848
clf,30,0,3.0,0.1448260056513117,0.4391414141414141,0.0881259588923659,0.8121212121212121
clf,30,0,4.0,0.1738985286841947,0.4191287878787879,0.1120003146479541,0.8674242424242424
clf,30,0,5.0,0.1967309121697242,0.4021212121212121,0.1334903400552534,0.9015151515151516
clf,30,0,6.0,0.2158488179424837,0.3873737373737373,0.1539423760860125,0.921969696969697
clf,30,0,7.0,0.2303079126226726,0.3725108225108224,0.1721060339529753,0.9431818181818182
clf,30,0,8.0,0.2441053276882542,0.3621212121212121,0.1907091364720757,0.9590909090909092
clf,30,0,9.0,0.2542807034233348,0.3499158249158249,0.2074676986900413,0.968181818181818
clf,30,0,10.0,0.264685713914961,0.3418939393939393,0.2249536151250688,0.9742424242424242
clf,30,0,11.0,0.2727492945086061,0.3336088154269972,0.2409133114417957,0.9803030303030305
