model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score,avg_training_time_seconds,avg_pred_time_seconds
top,20,0,19,0.3223528502240617,0.29681174089068824,0.37397109814974816,0.9979395604395604,0.10525290453296704,6.414148351648352e-06
top,20,0,20,0.3258375117773887,0.29354395604395606,0.3888174321641463,0.9986263736263736,0.10525290453296704,6.460851648351648e-06
top,20,1,2,0.09469399386868882,0.40246601327853304,0.05422429907089887,0.6291495415744547,0.5346667721572347,1.021804194330277e-05
top,20,1,3,0.12987891521874878,0.3929110900340745,0.07895336432576609,0.7599325534829803,0.5346667721572347,7.2690483717989245e-06
top,20,1,4,0.16028486206628176,0.3853936136579197,0.10311386195307569,0.8362314258615239,0.5346667721572347,6.3322794815049e-06
top,20,1,5,0.18525962686432565,0.37616187164084736,0.12570926043299668,0.8861840025292443,0.5346667721572347,6.005796185056381e-06
top,20,1,6,0.20710118461284757,0.36877788316296056,0.14776674746327617,0.9200126462219412,0.5346667721572347,5.847507640425756e-06
top,20,1,7,0.22515372224113095,0.36070337082034826,0.1685074586999011,0.9442512382758984,0.5346667721572347,5.70681842132996e-06
top,20,1,8,0.2404832976366725,0.3530798819685952,0.1882804217964195,0.9592159342396459,0.5346667721572347,5.640109600590156e-06
top,20,1,9,0.25331828244363364,0.3455594782262503,0.20702219550406467,0.9708083043524081,0.5346667721572347,5.579196964906734e-06
top,20,1,10,0.26392397664811723,0.3379764288474374,0.22471398943814663,0.9774475708715354,0.5346667721572347,5.5626514912003364e-06
top,20,1,11,0.2734877789221271,0.3315230234689608,0.24216795779932832,0.9824006744651702,0.5346667721572347,5.5399936768890295e-06
top,20,1,12,0.2818957815919876,0.3255743492464959,0.2591665173102148,0.9864053114132153,0.5346667721572347,5.512277373801244e-06
top,20,1,13,0.28880551528171233,0.3194694396480675,0.2753435438137191,0.9899884076298873,0.5346667721572347,6.702076088102011e-06
top,20,1,14,0.29490600558591273,0.31386781185232016,0.2911545936481157,0.9911476446411634,0.5346667721572347,5.497839603751713e-06
top,20,1,15,0.30000366902721637,0.3084861418484561,0.3062415563656194,0.993149963115186,0.5346667721572347,5.476130256085994e-06
top,20,1,16,0.30495771674553,0.30376269013243407,0.32166460961691895,0.994203814943619,0.5346667721572347,5.4743387079776574e-06
top,20,1,17,0.30921799272733214,0.29940935221174564,0.33641944710241256,0.9959953630519549,0.5346667721572347,5.482137211508061e-06
top,20,1,18,0.3124032554353612,0.29466529700368566,0.35038430689442673,0.9965222889661713,0.5346667721572347,5.477184107914427e-06
top,20,1,19,0.31516947937033163,0.29022648542807855,0.3640257496502837,0.9971546000632311,0.5346667721572347,5.468015597007061e-06
top,20,1,20,0.31768835696067926,0.2860756958711956,0.37760529543529664,0.9979976815259775,0.5346667721572347,5.47665718200021e-06
top,20,2,2,0.0932662099044323,0.4043058072309949,0.053239126536748664,0.6374147898869618,0.5922367054103029,1.071541979463284e-05
